benchmark,max,median
src\main\resources\benchmarks\diff.sl,1,0
src\main\resources\benchmarks\fg_array_search_10.sl,16,12
src\main\resources\benchmarks\fg_array_search_11.sl,24,14
src\main\resources\benchmarks\fg_array_search_12.sl,30,21
src\main\resources\benchmarks\fg_array_search_13.sl,33,27
src\main\resources\benchmarks\fg_array_search_14.sl,47,28
src\main\resources\benchmarks\fg_array_search_15.sl,44,32
src\main\resources\benchmarks\fg_array_search_16.sl,63,49
src\main\resources\benchmarks\fg_array_search_17.sl,75,44
src\main\resources\benchmarks\fg_array_search_18.sl,75,66
src\main\resources\benchmarks\fg_array_search_19.sl,91,74
src\main\resources\benchmarks\fg_array_search_2.sl,2,2
src\main\resources\benchmarks\fg_array_search_20.sl,87,66
src\main\resources\benchmarks\fg_array_search_3.sl,3,3
src\main\resources\benchmarks\fg_array_search_4.sl,4,4
src\main\resources\benchmarks\fg_array_search_5.sl,6,5
src\main\resources\benchmarks\fg_array_search_6.sl,10,6
src\main\resources\benchmarks\fg_array_search_7.sl,9,7
src\main\resources\benchmarks\fg_array_search_8.sl,14,9
src\main\resources\benchmarks\fg_array_search_9.sl,11,10
src\main\resources\benchmarks\fg_array_sum_10_15.sl,2298,668
src\main\resources\benchmarks\fg_array_sum_10_5.sl,3090,695
src\main\resources\benchmarks\fg_array_sum_2_15.sl,1,1
src\main\resources\benchmarks\fg_array_sum_2_5.sl,1,1
src\main\resources\benchmarks\fg_array_sum_3_15.sl,3,2
src\main\resources\benchmarks\fg_array_sum_3_5.sl,3,2
src\main\resources\benchmarks\fg_array_sum_4_15.sl,5,4
src\main\resources\benchmarks\fg_array_sum_4_5.sl,7,4
src\main\resources\benchmarks\fg_array_sum_5_15.sl,67,9
src\main\resources\benchmarks\fg_array_sum_5_5.sl,16,10
src\main\resources\benchmarks\fg_array_sum_6_15.sl,131,28
src\main\resources\benchmarks\fg_array_sum_6_5.sl,134,33
src\main\resources\benchmarks\fg_array_sum_7_15.sl,412,122
src\main\resources\benchmarks\fg_array_sum_7_5.sl,133,65
src\main\resources\benchmarks\fg_array_sum_8_15.sl,596,174
src\main\resources\benchmarks\fg_array_sum_8_5.sl,458,175
src\main\resources\benchmarks\fg_array_sum_9_15.sl,1345,714
src\main\resources\benchmarks\fg_array_sum_9_5.sl,1183,332
src\main\resources\benchmarks\fg_max10.sl,50,30
src\main\resources\benchmarks\fg_max11.sl,91,53
src\main\resources\benchmarks\fg_max12.sl,110,70
src\main\resources\benchmarks\fg_max13.sl,179,123
src\main\resources\benchmarks\fg_max14.sl,211,147
src\main\resources\benchmarks\fg_max15.sl,304,232
src\main\resources\benchmarks\fg_max16.sl,598,287
src\main\resources\benchmarks\fg_max17.sl,611,445
src\main\resources\benchmarks\fg_max18.sl,936,610
src\main\resources\benchmarks\fg_max19.sl,1002,779
src\main\resources\benchmarks\fg_max2.sl,1,0
src\main\resources\benchmarks\fg_max20.sl,1656,1167
src\main\resources\benchmarks\fg_max3.sl,2,2
src\main\resources\benchmarks\fg_max4.sl,4,3
src\main\resources\benchmarks\fg_max5.sl,6,5
src\main\resources\benchmarks\fg_max6.sl,9,7
src\main\resources\benchmarks\fg_max7.sl,16,10
src\main\resources\benchmarks\fg_max8.sl,21,16
src\main\resources\benchmarks\fg_max9.sl,28,22
src\main\resources\benchmarks\fg_mpg_example1.sl,1,1
src\main\resources\benchmarks\fg_mpg_example2.sl,1050,191
src\main\resources\benchmarks\fg_mpg_example3.sl,9,4
src\main\resources\benchmarks\fg_mpg_example4.sl,56,24
src\main\resources\benchmarks\fg_mpg_example5.sl,18,11
src\main\resources\benchmarks\fg_mpg_guard1.sl,1,1
src\main\resources\benchmarks\fg_mpg_guard2.sl,1,1
src\main\resources\benchmarks\fg_mpg_guard3.sl,1,1
src\main\resources\benchmarks\fg_mpg_guard4.sl,3,1
src\main\resources\benchmarks\fg_mpg_ite1.sl,2,2
src\main\resources\benchmarks\fg_mpg_ite2.sl,5,3
src\main\resources\benchmarks\fg_mpg_plane1.sl,0,0
src\main\resources\benchmarks\fg_mpg_plane2.sl,0,0
src\main\resources\benchmarks\fg_mpg_plane3.sl,0,0
src\main\resources\benchmarks\large.sl,0,0
src\main\resources\benchmarks\large_linear_func.sl,0,0
src\main\resources\benchmarks\small.sl,0,0
src\main\resources\benchmarks\small_linear_func.sl,0,0
